date,session_key,driver_number,gap_to_leader,interval,meeting_key
2026-07-05T14:09:15.693000+00:00,11326,1,6.289,0.436,1289
2026-07-05T14:09:20.830000+00:00,11326,1,6.624,0.413,1289
2026-07-05T14:09:26.408000+00:00,11326,1,6.816,0.484,1289
2026-07-05T14:09:31.724000+00:00,11326,1,6.581,0.338,1289
2026-07-05T14:09:35.514000+00:00,11326,1,6.306,0.26,1289
2026-07-05T14:09:39.689000+00:00,11326,1,6.619,0.422,1289
2026-07-05T14:09:42.269000+00:00,11326,1,6.681,0.47,1289
2026-07-05T14:09:44.869000+00:00,11326,1,6.709,0.486,1289
2026-07-05T14:09:48.711000+00:00,11326,1,6.992,0.507,1289
2026-07-05T14:09:53.370000+00:00,11326,1,7.121,0.51,1289
2026-07-05T14:09:55.856000+00:00,11326,1,7.119,0.521,1289
2026-07-05T14:09:58.193000+00:00,11326,1,7.098,0.535,1289
2026-07-05T14:10:00.154000+00:00,11326,1,7.059,0.547,1289
2026-07-05T14:10:03.262000+00:00,11326,1,7.16,0.577,1289
2026-07-05T14:10:08.477000+00:00,11326,1,7.342,0.62,1289
2026-07-05T14:10:09.793000+00:00,11326,1,7.359,0.646,1289
2026-07-05T14:10:15.646000+00:00,11326,1,7.653,0.671,1289
2026-07-05T14:10:17.017000+00:00,11326,1,7.682,0.68,1289
2026-07-05T14:10:19.043000+00:00,11326,1,7.721,0.722,1289
2026-07-05T14:10:19.922000+00:00,11326,1,7.724,0.728,1289
2026-07-05T14:10:24.639000+00:00,11326,1,7.485,0.594,1289
2026-07-05T14:10:27.910000+00:00,11326,1,7.373,0.556,1289
2026-07-05T14:10:31.415000+00:00,11326,1,7.45,0.582,1289
2026-07-05T14:10:35.580000+00:00,11326,1,7.483,0.533,1289
2026-07-05T14:10:41.459000+00:00,11326,1,7.487,0.498,1289
2026-07-05T14:10:45.300000+00:00,11326,1,7.513,0.529,1289
2026-07-05T14:10:49.553000+00:00,11326,1,7.568,0.59,1289
2026-07-05T14:10:50.801000+00:00,11326,1,7.64,0.625,1289
2026-07-05T14:10:56.062000+00:00,11326,1,7.894,0.709,1289
2026-07-05T14:11:01.616000+00:00,11326,1,8.017,0.748,1289
2026-07-05T14:11:07.025000+00:00,11326,1,7.869,0.707,1289
2026-07-05T14:11:10.804000+00:00,11326,1,7.609,0.641,1289
2026-07-05T14:11:14.842000+00:00,11326,1,7.773,0.674,1289
2026-07-05T14:11:17.408000+00:00,11326,1,7.811,0.695,1289
2026-07-05T14:11:20.013000+00:00,11326,1,7.845,0.714,1289
2026-07-05T14:11:23.852000+00:00,11326,1,8.141,0.739,1289
2026-07-05T14:11:28.435000+00:00,11326,1,8.213,0.757,1289
2026-07-05T14:11:30.915000+00:00,11326,1,8.191,0.772,1289
2026-07-05T14:11:33.332000+00:00,11326,1,8.182,0.808,1289
2026-07-05T14:11:35.369000+00:00,11326,1,8.159,0.846,1289
2026-07-05T14:11:38.469000+00:00,11326,1,8.255,0.898,1289
2026-07-05T14:11:43.651000+00:00,11326,1,8.32,0.896,1289
2026-07-05T14:11:44.988000+00:00,11326,1,8.304,0.916,1289
2026-07-05T14:11:50.670000+00:00,11326,1,8.42,0.815,1289
