date,session_key,driver_number,gap_to_leader,interval,meeting_key
2026-03-29T05:14:06.908000+00:00,11253,16,,0.207,1281
2026-03-29T05:14:09.919000+00:00,11253,16,0.119,0.022,1281
2026-03-29T05:14:13.517000+00:00,11253,16,0.208,0.208,1281
2026-03-29T05:14:17.543000+00:00,11253,16,0.483,0.483,1281
2026-03-29T05:14:21.003000+00:00,11253,16,0.603,0.603,1281
2026-03-29T05:14:24.513000+00:00,11253,16,0.752,0.752,1281
2026-03-29T05:14:30.952000+00:00,11253,16,0.901,0.901,1281
2026-03-29T05:14:34.822000+00:00,11253,16,1.026,1.026,1281
2026-03-29T05:14:38.361000+00:00,11253,16,1.172,1.172,1281
2026-03-29T05:14:41.566000+00:00,11253,16,1.241,1.241,1281
2026-03-29T05:14:46.591000+00:00,11253,16,1.215,1.215,1281
2026-03-29T05:14:50.695000+00:00,11253,16,1.242,1.242,1281
2026-03-29T05:14:56.043000+00:00,11253,16,1.207,1.207,1281
2026-03-29T05:15:00.187000+00:00,11253,16,1.218,1.218,1281
2026-03-29T05:15:02.774000+00:00,11253,16,1.112,1.112,1281
2026-03-29T05:15:05.622000+00:00,11253,16,0.94,0.94,1281
2026-03-29T05:15:08.863000+00:00,11253,16,0.929,0.929,1281
2026-03-29T05:15:13.179000+00:00,11253,16,0.948,0.948,1281
2026-03-29T05:15:17.366000+00:00,11253,16,0.938,0.938,1281
2026-03-29T05:15:20.178000+00:00,11253,16,0.906,0.906,1281
2026-03-29T05:15:24.762000+00:00,11253,16,0.806,0.806,1281
2026-03-29T05:15:28.499000+00:00,11253,16,0.884,0.884,1281
2026-03-29T05:15:33.139000+00:00,11253,16,0.92,0.92,1281
2026-03-29T05:15:35.664000+00:00,11253,16,1.014,1.014,1281
2026-03-29T05:15:37.214000+00:00,11253,16,1.034,1.034,1281
2026-03-29T05:15:37.900000+00:00,11253,16,1.054,1.054,1281
2026-03-29T05:15:38.623000+00:00,11253,16,1.092,1.092,1281
2026-03-29T05:15:43.378000+00:00,11253,16,1.376,1.376,1281
2026-03-29T05:15:45.743000+00:00,11253,16,1.47,1.47,1281
2026-03-29T05:15:49.060000+00:00,11253,16,1.538,1.538,1281
2026-03-29T05:15:52.632000+00:00,11253,16,1.537,1.537,1281
2026-03-29T05:15:55.977000+00:00,11253,16,1.577,1.577,1281
2026-03-29T05:15:59.360000+00:00,11253,16,1.621,1.621,1281
2026-03-29T05:16:05.750000+00:00,11253,16,1.665,1.665,1281
2026-03-29T05:16:09.644000+00:00,11253,16,1.702,1.702,1281
2026-03-29T05:16:13.260000+00:00,11253,16,1.727,1.727,1281
2026-03-29T05:16:16.542000+00:00,11253,16,1.753,1.753,1281
2026-03-29T05:16:21.587000+00:00,11253,16,1.681,1.681,1281
2026-03-29T05:16:25.707000+00:00,11253,16,1.685,1.685,1281
2026-03-29T05:16:31.249000+00:00,11253,16,1.821,1.821,1281
2026-03-29T05:16:35.375000+00:00,11253,16,1.788,1.788,1281
2026-03-29T05:16:37.973000+00:00,11253,16,1.71,1.71,1281
2026-03-29T05:16:40.954000+00:00,11253,16,1.631,1.631,1281
2026-03-29T05:16:44.203000+00:00,11253,16,1.581,1.581,1281
2026-03-29T05:16:48.592000+00:00,11253,16,1.59,1.59,1281
2026-03-29T05:16:52.773000+00:00,11253,16,1.603,1.603,1281
2026-03-29T05:16:55.452000+00:00,11253,16,1.488,1.488,1281
2026-03-29T05:17:00.055000+00:00,11253,16,1.258,1.258,1281
2026-03-29T05:17:03.704000+00:00,11253,16,1.191,1.191,1281
2026-03-29T05:17:08.319000+00:00,11253,16,1.192,1.192,1281
2026-03-29T05:17:10.940000+00:00,11253,16,1.17,1.17,1281
2026-03-29T05:17:12.291000+00:00,11253,16,1.196,1.196,1281
2026-03-29T05:17:13.001000+00:00,11253,16,1.222,1.222,1281
2026-03-29T05:17:13.802000+00:00,11253,16,1.269,1.269,1281
2026-03-29T05:17:18.587000+00:00,11253,16,1.567,1.567,1281
2026-03-29T05:17:20.996000+00:00,11253,16,1.655,1.655,1281
2026-03-29T05:17:24.291000+00:00,11253,16,1.729,1.729,1281
