date,session_key,pressure,rainfall,track_temperature,wind_speed,meeting_key,wind_direction,air_temperature,humidity
2023-09-15T12:45:12.700000+00:00,9159,1010.0,0,37.2,1.3,1219,179,29.8,72.0
2023-09-15T12:46:12.714000+00:00,9159,1010.0,0,37.1,1.2,1219,194,29.8,73.0
2023-09-15T12:47:12.713000+00:00,9159,1010.0,0,37.3,1.2,1219,189,29.8,73.0
2023-09-15T12:48:12.728000+00:00,9159,1010.0,0,37.3,1.2,1219,202,29.8,72.0
2023-09-15T12:49:12.727000+00:00,9159,1010.0,0,37.3,1.2,1219,145,29.8,72.0
2023-09-15T12:50:12.741000+00:00,9159,1010.0,0,37.2,0.6,1219,158,29.9,73.0
2023-09-15T12:51:12.740000+00:00,9159,1010.0,0,37.2,1.1,1219,198,29.9,73.0
2023-09-15T12:52:12.739000+00:00,9159,1010.2,0,37.2,1.2,1219,174,29.9,73.0
2023-09-15T12:53:12.738000+00:00,9159,1010.0,0,37.3,0.8,1219,195,29.8,73.0
2023-09-15T12:54:12.737000+00:00,9159,1010.2,0,37.1,1.1,1219,165,29.8,73.0
2023-09-15T12:55:12.736000+00:00,9159,1010.2,0,36.9,1.7,1219,200,29.8,73.0
2023-09-15T12:56:12.735000+00:00,9159,1010.2,0,36.9,0.8,1219,176,29.8,73.0
2023-09-15T12:57:12.749000+00:00,9159,1010.2,0,36.8,1.2,1219,186,29.9,74.0
2023-09-15T12:58:12.733000+00:00,9159,1010.2,0,36.9,1.2,1219,195,29.8,74.0
2023-09-15T12:59:12.732000+00:00,9159,1010.2,0,37.2,1.3,1219,218,29.9,74.0
2023-09-15T13:00:12.746000+00:00,9159,1010.2,0,37.2,1.0,1219,237,29.9,74.0
2023-09-15T13:01:12.745000+00:00,9159,1010.2,0,36.9,1.5,1219,165,29.8,74.0
2023-09-15T13:02:12.744000+00:00,9159,1010.2,0,36.9,1.7,1219,173,29.8,74.0
2023-09-15T13:03:12.743000+00:00,9159,1010.2,0,36.9,1.7,1219,163,29.9,73.0
2023-09-15T13:04:12.742000+00:00,9159,1010.2,0,36.9,1.5,1219,150,29.9,73.0
2023-09-15T13:05:12.741000+00:00,9159,1010.2,0,36.9,1.0,1219,160,29.9,74.0
2023-09-15T13:06:12.740000+00:00,9159,1010.2,0,36.9,1.3,1219,169,29.9,74.0
2023-09-15T13:07:12.739000+00:00,9159,1010.2,0,37.2,1.6,1219,189,29.9,73.0
2023-09-15T13:08:12.753000+00:00,9159,1010.2,0,37.3,2.0,1219,161,30.0,73.0
2023-09-15T13:09:12.752000+00:00,9159,1010.2,0,37.0,2.0,1219,175,30.0,73.0
2023-09-15T13:10:12.751000+00:00,9159,1010.2,0,36.6,1.6,1219,191,30.0,73.0
