date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-03-15T07:04:06.055000+00:00,11245,0.026,,1280,44
2026-03-15T07:04:07.595000+00:00,11245,0.0,0.0,1280,44
2026-03-15T07:05:39.581000+00:00,11245,0.0,0.0,1280,44
2026-03-15T07:07:00.610000+00:00,11245,0.175,0.175,1280,44
2026-03-15T07:07:09.209000+00:00,11245,0.415,0.415,1280,44
2026-03-15T07:07:13.489000+00:00,11245,0.452,0.452,1280,44
2026-03-15T07:07:14.478000+00:00,11245,0.476,0.476,1280,44
2026-03-15T07:07:16.888000+00:00,11245,0.554,0.554,1280,44
2026-03-15T07:07:18.341000+00:00,11245,0.57,0.57,1280,44
2026-03-15T07:07:19.122000+00:00,11245,0.567,0.567,1280,44
2026-03-15T07:07:23.326000+00:00,11245,0.364,0.364,1280,44
2026-03-15T07:07:24.482000+00:00,11245,0.294,0.294,1280,44
2026-03-15T07:07:26.966000+00:00,11245,0.304,0.304,1280,44
2026-03-15T07:07:31.982000+00:00,11245,0.453,0.453,1280,44
2026-03-15T07:07:37.641000+00:00,11245,0.605,0.605,1280,44
2026-03-15T07:07:41.151000+00:00,11245,0.615,0.615,1280,44
2026-03-15T07:07:44.741000+00:00,11245,0.655,0.655,1280,44
2026-03-15T07:07:52.072000+00:00,11245,0.69,0.69,1280,44
2026-03-15T07:07:55.793000+00:00,11245,0.696,0.696,1280,44
2026-03-15T07:07:59.881000+00:00,11245,0.521,0.521,1280,44
2026-03-15T07:08:05.656000+00:00,11245,0.581,0.581,1280,44
2026-03-15T07:08:10.651000+00:00,11245,0.978,0.978,1280,44
2026-03-15T07:08:14.676000+00:00,11245,0.982,0.982,1280,44
2026-03-15T07:08:21.050000+00:00,11245,0.889,0.889,1280,44
2026-03-15T07:08:26.473000+00:00,11245,0.876,0.876,1280,44
2026-03-15T07:08:30.648000+00:00,11245,0.89,0.89,1280,44
2026-03-15T07:08:35.409000+00:00,11245,1.03,1.03,1280,44
2026-03-15T07:08:39.391000+00:00,11245,1.135,1.135,1280,44
2026-03-15T07:08:47.786000+00:00,11245,1.028,1.028,1280,44
2026-03-15T07:08:51.846000+00:00,11245,0.808,0.808,1280,44
2026-03-15T07:08:52.785000+00:00,11245,0.811,0.811,1280,44
2026-03-15T07:08:55.241000+00:00,11245,0.907,0.907,1280,44
2026-03-15T07:08:56.793000+00:00,11245,1.044,1.044,1280,44
2026-03-15T07:08:57.701000+00:00,11245,1.141,1.141,1280,44
2026-03-15T07:09:02.391000+00:00,11245,1.402,0.184,1280,44
2026-03-15T07:09:03.657000+00:00,11245,1.419,0.288,1280,44
2026-03-15T07:09:06.220000+00:00,11245,1.602,0.509,1280,44
2026-03-15T07:09:11.109000+00:00,11245,1.482,0.568,1280,44
2026-03-15T07:09:16.614000+00:00,11245,1.504,0.57,1280,44
2026-03-15T07:09:20.108000+00:00,11245,1.526,0.566,1280,44
2026-03-15T07:09:23.758000+00:00,11245,1.58,0.615,1280,44
2026-03-15T07:09:31.003000+00:00,11245,1.721,0.694,1280,44
2026-03-15T07:09:34.762000+00:00,11245,1.734,0.752,1280,44
2026-03-15T07:09:38.879000+00:00,11245,1.599,0.867,1280,44
2026-03-15T07:09:44.560000+00:00,11245,1.587,0.873,1280,44
2026-03-15T07:09:49.232000+00:00,11245,1.713,0.866,1280,44
