date,session_key,gap_to_leader,interval,meeting_key,driver_number
2026-03-15T07:09:20.809000+00:00,11245,2.228,0.702,1280,16
2026-03-15T07:09:24.408000+00:00,11245,2.231,0.651,1280,16
2026-03-15T07:09:31.731000+00:00,11245,2.418,0.697,1280,16
2026-03-15T07:09:35.465000+00:00,11245,2.464,0.73,1280,16
2026-03-15T07:09:39.640000+00:00,11245,2.332,0.733,1280,16
2026-03-15T07:09:45.294000+00:00,11245,2.323,0.736,1280,16
2026-03-15T07:09:49.969000+00:00,11245,2.462,0.749,1280,16
2026-03-15T07:09:54.076000+00:00,11245,2.555,0.783,1280,16
2026-03-15T07:10:00.591000+00:00,11245,2.776,0.835,1280,16
2026-03-15T07:10:06.017000+00:00,11245,2.793,0.867,1280,16
2026-03-15T07:10:10.330000+00:00,11245,2.848,0.89,1280,16
2026-03-15T07:10:14.845000+00:00,11245,2.819,0.927,1280,16
2026-03-15T07:10:18.627000+00:00,11245,2.748,0.969,1280,16
2026-03-15T07:10:27.111000+00:00,11245,2.83,1.0,1280,16
2026-03-15T07:10:31.276000+00:00,11245,2.771,0.861,1280,16
2026-03-15T07:10:32.231000+00:00,11245,2.767,0.822,1280,16
2026-03-15T07:10:34.551000+00:00,11245,2.774,0.794,1280,16
2026-03-15T07:10:35.942000+00:00,11245,2.773,0.784,1280,16
2026-03-15T07:10:36.692000+00:00,11245,2.756,0.775,1280,16
2026-03-15T07:10:40.864000+00:00,11245,2.497,0.658,1280,16
2026-03-15T07:10:42.004000+00:00,11245,2.416,0.623,1280,16
2026-03-15T07:10:44.270000+00:00,11245,2.374,0.576,1280,16
2026-03-15T07:10:49.286000+00:00,11245,2.503,0.601,1280,16
2026-03-15T07:10:54.968000+00:00,11245,2.54,0.714,1280,16
2026-03-15T07:10:58.548000+00:00,11245,2.699,0.775,1280,16
2026-03-15T07:11:02.210000+00:00,11245,2.803,0.799,1280,16
2026-03-15T07:11:09.502000+00:00,11245,2.965,0.91,1280,16
2026-03-15T07:11:13.266000+00:00,11245,2.991,0.915,1280,16
2026-03-15T07:11:17.422000+00:00,11245,2.855,0.909,1280,16
2026-03-15T07:11:23.126000+00:00,11245,2.83,0.911,1280,16
