meeting_key,session_key,stint_number,driver_number,lap_start,lap_end,compound,tyre_age_at_start
1280,11245,1,12,1,10,MEDIUM,0
1280,11245,2,12,11,56,HARD,0
1280,11245,1,14,1,31,HARD,0
1280,11245,2,14,32,32,MEDIUM,0
1280,11245,1,16,1,10,MEDIUM,0
1280,11245,2,16,11,56,HARD,0
1280,11245,1,18,1,9,HARD,0
1280,11245,1,23,1,1,HARD,0
1280,11245,1,27,1,35,HARD,0
1280,11245,2,27,36,55,MEDIUM,0
1280,11245,1,30,1,9,MEDIUM,0
1280,11245,2,30,10,56,HARD,0
1280,11245,1,31,1,29,HARD,0
1280,11245,2,31,30,46,MEDIUM,0
1280,11245,3,31,47,55,SOFT,0
1280,11245,1,41,1,42,HARD,0
1280,11245,2,41,43,55,MEDIUM,0
1280,11245,1,43,1,32,HARD,0
1280,11245,2,43,33,55,MEDIUM,0
1280,11245,1,44,1,10,MEDIUM,0
1280,11245,2,44,11,56,HARD,0
1280,11245,1,55,1,9,MEDIUM,0
1280,11245,2,55,10,55,HARD,0
1280,11245,1,63,1,10,MEDIUM,0
1280,11245,2,63,11,56,HARD,0
1280,11245,1,77,1,10,MEDIUM,0
1280,11245,2,77,11,55,HARD,0
1280,11245,1,81,1,1,MEDIUM,0
1280,11245,1,87,1,10,MEDIUM,0
1280,11245,2,87,11,56,HARD,0
