meeting_key,session_key,date,driver_number,lap_number,category,flag,scope,sector,qualifying_phase,message
1284,11280,2026-05-03T18:12:10+00:00,77.0,41.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:12:09
1284,11280,2026-05-03T18:12:29+00:00,77.0,41.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:12:29
1284,11280,2026-05-03T18:13:56+00:00,11.0,42.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 14:13:55
1284,11280,2026-05-03T18:14:45+00:00,,43.0,Other,,,,,CAR 1 (NOR) TIME 1:32.662 DELETED - TRACK LIMITS AT TURN 5 LAP 42 14:13:06
1284,11280,2026-05-03T18:15:00+00:00,11.0,43.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 14:14:59
1284,11280,2026-05-03T18:15:29+00:00,77.0,43.0,Flag,BLACK AND WHITE,Driver,,,BLACK AND WHITE FLAG FOR CAR 77 (BOT) - IGNORING BLUE FLAGS
1284,11280,2026-05-03T18:16:09+00:00,77.0,44.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:16:09
1284,11280,2026-05-03T18:16:57+00:00,11.0,44.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 14:16:57
1284,11280,2026-05-03T18:17:09+00:00,41.0,44.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:17:08
1284,11280,2026-05-03T18:17:10+00:00,14.0,44.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 14:17:10
1284,11280,2026-05-03T18:17:32+00:00,41.0,45.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:17:31
1284,11280,2026-05-03T18:17:54+00:00,18.0,45.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 14:17:54
1284,11280,2026-05-03T18:18:11+00:00,18.0,45.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 14:18:10
1284,11280,2026-05-03T18:19:27+00:00,,46.0,Other,,,,,CAR 12 (ANT) TIME 1:32.399 DELETED - TRACK LIMITS AT TURN 11 LAP 45 14:18:11
1284,11280,2026-05-03T18:19:41+00:00,11.0,46.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 14:19:41
1284,11280,2026-05-03T18:20:49+00:00,77.0,47.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:20:48
1284,11280,2026-05-03T18:21:51+00:00,,47.0,Other,,,,,CAR 14 (ALO) TIME 1:33.512 DELETED - TRACK LIMITS AT TURN 5 LAP 44 14:18:17
1284,11280,2026-05-03T18:22:10+00:00,14.0,48.0,Flag,BLACK AND WHITE,Driver,,,BLACK AND WHITE FLAG FOR CAR 14 (ALO) - TRACK LIMITS
1284,11280,2026-05-03T18:22:29+00:00,,48.0,Flag,YELLOW,Sector,19.0,,YELLOW IN TRACK SECTOR 19
1284,11280,2026-05-03T18:22:32+00:00,,48.0,Flag,CLEAR,Sector,19.0,,CLEAR IN TRACK SECTOR 19
1284,11280,2026-05-03T18:23:10+00:00,77.0,48.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:23:10
1284,11280,2026-05-03T18:23:29+00:00,,48.0,Other,,,,,CAR 87 (BEA) TIME 1:37.535 DELETED - TRACK LIMITS AT TURN 7 LAP 47 14:22:07
1284,11280,2026-05-03T18:24:32+00:00,,49.0,Other,,,,,CAR 14 (ALO) TIME 1:36.389 DELETED - TRACK LIMITS AT TURN 17 LAP 46 14:22:30
1284,11280,2026-05-03T18:26:44+00:00,14.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 14 (ALO) TIMED AT 14:26:44
1284,11280,2026-05-03T18:26:52+00:00,77.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:26:51
1284,11280,2026-05-03T18:27:13+00:00,31.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 14:27:12
1284,11280,2026-05-03T18:27:14+00:00,77.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:27:14
1284,11280,2026-05-03T18:27:16+00:00,11.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 11 (PER) TIMED AT 14:27:15
1284,11280,2026-05-03T18:27:43+00:00,31.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 31 (OCO) TIMED AT 14:27:43
1284,11280,2026-05-03T18:27:49+00:00,77.0,51.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:27:48
1284,11280,2026-05-03T18:28:12+00:00,5.0,52.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 14:28:12
1284,11280,2026-05-03T18:28:27+00:00,77.0,52.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:28:27
1284,11280,2026-05-03T18:28:34+00:00,77.0,52.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:28:34
1284,11280,2026-05-03T18:29:20+00:00,5.0,52.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 5 (BOR) TIMED AT 14:29:20
1284,11280,2026-05-03T18:31:25+00:00,41.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:31:24
1284,11280,2026-05-03T18:31:41+00:00,41.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:31:41
1284,11280,2026-05-03T18:31:57+00:00,41.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:31:57
1284,11280,2026-05-03T18:32:02+00:00,77.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:32:02
1284,11280,2026-05-03T18:32:11+00:00,77.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 77 (BOT) TIMED AT 14:32:11
1284,11280,2026-05-03T18:32:13+00:00,41.0,54.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 41 (LIN) TIMED AT 14:32:12
1284,11280,2026-05-03T18:33:01+00:00,87.0,55.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 14:33:01
1284,11280,2026-05-03T18:34:12+00:00,87.0,55.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 87 (BEA) TIMED AT 14:34:11
1284,11280,2026-05-03T18:35:24+00:00,18.0,56.0,Flag,BLUE,Driver,,,WAVED BLUE FLAG FOR CAR 18 (STR) TIMED AT 14:35:23
