date,session_key,z,meeting_key,y,driver_number,x
2026-03-28T07:03:24.579000+00:00,11253,823,1281,-446,16,1327
2026-03-28T07:03:24.799000+00:00,11253,823,1281,-446,16,1327
2026-03-29T04:10:19.344000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:19.604000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:19.824000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:20.024000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:20.184000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:20.444000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:20.664000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:20.863000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:21.183000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:21.503000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:21.883000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:22.063000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:22.543000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:22.843000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:23.163000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:23.403000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:23.683000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:23.863000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:24.023000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:24.383000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:28.283000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:28.523000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:28.863000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:29.223000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:29.423000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:29.663000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:30.043000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:30.403000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:30.643000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:31.003000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:31.284000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:31.464000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:31.704000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:31.904000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:32.124000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:32.384000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:32.664000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:33.124000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:33.544000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:33.923000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:34.123000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:34.323000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:34.443000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:34.643000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:34.983000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:35.263000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:35.443000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:35.723000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:35.883000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:36.063000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:36.343000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:36.643000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:36.843000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:37.243000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:37.323000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:37.643000+00:00,11253,0,1281,0,16,0
2026-03-29T04:10:37.864000+00:00,11253,0,1281,0,16,0
